a,ｱ,ア,あ
tsa,ﾂｧ,ツァ,つぁ
tsi,ﾂｨ,ツィ,つぃ
tse,ﾂｪ,ツェ,つぇ
tso,ﾂｫ,ツォ,つぉ
tha,ﾃｬ,テャ,てゃ
thi,ﾃｨ,ティ,てぃ
thu,ﾃｭ,テュ,てゅ
the,ﾃｪ,テェ,てぇ
tho,ﾃｮ,テョ,てょ
ba,ﾊﾞ,バ,ば
bi,ﾋﾞ,ビ,び
bu,ﾌﾞ,ブ,ぶ
be,ﾍﾞ,ベ,べ
bo,ﾎﾞ,ボ,ぼ
bya,ﾋﾞｬ,ビャ,びゃ
byi,ﾋﾞｨ,ビィ,びぃ
byu,ﾋﾞｭ,ビュ,びゅ
bye,ﾋﾞｪ,ビェ,びぇ
byo,ﾋﾞｮ,ビョ,びょ
pa,ﾊﾟ,パ,ぱ
pi,ﾋﾟ,ピ,ぴ
pu,ﾌﾟ,プ,ぷ
pe,ﾍﾟ,ペ,ぺ
po,ﾎﾟ,ポ,ぽ
pya,ﾋﾟｬ,ピャ,ぴゃ
pyi,ﾋﾟｨ,ピィ,ぴぃ
pyu,ﾋﾟｭ,ピュ,ぴゅ
pye,ﾋﾟｪ,ピェ,ぴぇ
pyo,ﾋﾟｮ,ピョ,ぴょ
va,ｳﾞｧ,ヴァ,ヴァ
vi,ｳﾞｨ,ヴィ,ヴィ
vu,ｳﾞ,ヴ,ヴ
ve,ｳﾞｪ,ヴェ,ヴェ
vo,ｳﾞｫ,ヴォ,ヴォ
fa,ﾌｧ,ファ,ふぁ
fi,ﾌｨ,フィ,ふぃ
fe,ﾌｪ,フェ,ふぇ
fo,ﾌｫ,フォ,ふぉ
fya,ﾌｬ,フャ,ふゃ
fyi,ﾌｨ,フィ,ふぃ
fyu,ﾌｭ,フュ,ふゅ
fye,ﾌｪ,フェ,ふぇ
fyo,ﾌｮ,フョ,ふょ
xtu,ｯ,ッ,っ
ltu,ｯ,ッ,っ
-,ｰ,ー,ー
kk,ｯk,ッk,っk
gg,ｯg,ッg,っg
ss,ｯs,ッs,っs
zz,ｯz,ッz,っz
tt,ｯt,ッt,っt
dd,ｯd,ッd,っd
hh,ｯh,ッh,っh
bb,ｯb,ッb,っb
pp,ｯp,ッp,っp
ff,ｯf,ッf,っf
mm,ｯm,ッm,っm
yy,ｯy,ッy,っy
rr,ｯr,ッr,っr
ww,ｯw,ッw,っw
vv,ｯv,ッv,っv
